t,cell_id,z,y,x,volume
22,130,22.0,169.0,251.0,75.0
22,193,13.0,154.0,336.0,75.0
22,258,9.0,303.0,259.0,75.0
22,321,12.0,358.0,353.0,75.0
22,385,23.0,145.0,411.0,75.0
22,448,22.0,237.0,478.0,75.0
22,512,19.0,314.0,331.0,75.0
22,609,18.0,357.0,489.0,75.0
22,641,11.0,198.0,502.0,75.0
22,702,18.0,285.0,579.0,75.0
23,3,16.0,235.0,134.0,75.0
23,66,20.0,344.0,203.0,75.0
23,130,23.0,181.0,238.0,75.0
23,193,12.0,154.0,333.0,75.0
23,258,10.0,284.0,248.0,75.0
23,321,10.0,358.0,370.0,75.0
23,385,23.0,135.0,394.0,75.0
23,448,23.0,243.0,482.0,75.0
23,512,20.0,329.0,335.0,75.0
23,609,19.0,344.0,485.0,75.0
23,641,11.0,204.0,495.0,75.0
23,702,18.0,272.0,578.0,75.0
24,3,17.0,237.0,128.0,75.0
24,66,18.0,361.0,192.0,75.0
24,130,24.0,191.0,242.0,75.0
24,193,12.0,153.0,331.0,75.0
24,258,10.0,258.0,245.0,75.0
24,321,11.0,355.0,375.0,75.0
24,385,23.0,132.0,384.0,75.0
24,448,23.0,242.0,503.0,75.0
24,513,21.0,333.0,310.0,75.0
24,564,21.0,303.0,362.0,75.0
24,609,18.0,354.0,483.0,75.0
24,641,12.0,207.0,487.0,75.0
24,702,17.0,267.0,577.0,75.0
25,3,17.0,227.0,131.0,75.0
25,66,16.0,352.0,184.0,75.0
25,130,24.0,195.0,237.0,75.0
25,193,13.0,147.0,334.0,75.0
25,258,10.0,248.0,251.0,75.0
25,321,10.0,352.0,378.0,75.0
25,385,23.0,131.0,382.0,75.0
25,448,24.0,248.0,510.0,75.0
25,513,20.0,336.0,300.0,75.0
25,564,20.0,296.0,365.0,75.0
25,610,18.0,374.0,454.0,75.0
25,625,17.0,354.0,503.0,75.0
25,641,12.0,213.0,479.0,75.0
25,702,17.0,263.0,576.0,75.0
26,3,17.0,235.0,132.0,75.0
26,66,16.0,358.0,186.0,75.0
26,130,24.0,191.0,226.0,75.0
26,193,12.0,151.0,336.0,75.0
26,258,10.0,252.0,256.0,75.0
26,321,10.0,348.0,394.0,75.0
26,385,23.0,128.0,386.0,75.0
26,448,24.0,241.0,513.0,75.0
26,513,21.0,344.0,299.0,75.0
26,564,21.0,289.0,369.0,75.0
26,610,19.0,379.0,445.0,75.0
26,625,17.0,349.0,510.0,75.0
26,641,13.0,220.0,473.0,75.0
26,702,17.0,258.0,577.0,75.0
27,3,17.0,237.0,135.0,75.0
27,66,16.0,361.0,191.0,75.0
27,130,24.0,190.0,221.0,75.0
27,193,12.0,151.0,331.0,75.0
27,258,10.0,254.0,259.0,75.0
27,321,10.0,348.0,395.0,75.0
27,385,22.0,126.0,381.0,75.0
27,448,24.0,230.0,512.0,75.0
27,513,22.0,350.0,285.0,75.0
27,564,21.0,282.0,379.0,75.0
27,610,19.0,385.0,444.0,75.0
27,625,18.0,341.0,514.0,75.0
27,641,13.0,219.0,464.0,75.0
27,702,18.0,258.0,575.0,75.0
28,3,16.0,238.0,133.0,75.0
28,66,15.0,364.0,194.0,75.0
28,130,25.0,198.0,220.0,75.0
28,193,12.0,151.0,325.0,75.0
28,258,10.0,254.0,264.0,75.0
28,321,10.0,358.0,398.0,75.0
28,385,22.0,132.0,381.0,75.0
28,448,25.0,221.0,515.0,75.0
28,513,23.0,354.0,274.0,75.0
28,564,22.0,273.0,398.0,75.0
28,610,21.0,396.0,440.0,75.0
28,625,17.0,331.0,522.0,75.0
28,641,12.0,217.0,461.0,75.0
28,702,17.0,255.0,570.0,75.0
29,3,16.0,235.0,133.0,75.0
29,66,15.0,365.0,193.0,75.0
29,130,24.0,197.0,221.0,75.0
29,193,12.0,148.0,325.0,75.0
29,258,10.0,251.0,255.0,75.0
29,321,11.0,369.0,391.0,75.0
29,385,23.0,124.0,395.0,75.0
29,448,25.0,223.0,517.0,75.0
29,513,23.0,359.0,274.0,75.0
29,564,22.0,274.0,407.0,75.0
29,610,21.0,401.0,432.0,75.0
29,625,16.0,334.0,523.0,75.0
29,642,11.0,231.0,434.0,75.0
29,671,12.0,202.0,487.0,75.0
29,702,16.0,267.0,567.0,75.0
30,3,17.0,228.0,138.0,75.0
30,66,16.0,356.0,189.0,75.0
30,130,23.0,192.0,237.0,75.0
30,193,13.0,151.0,327.0,75.0
30,258,11.0,263.0,258.0,75.0
30,321,11.0,369.0,367.0,75.0
30,385,21.0,131.0,405.0,75.0
30,448,24.0,232.0,512.0,75.0
30,513,24.0,351.0,282.0,75.0
30,564,23.0,286.0,413.0,75.0
30,610,20.0,405.0,432.0,75.0
30,625,15.0,339.0,516.0,75.0
30,642,11.0,231.0,415.0,75.0
30,671,12.0,198.0,482.0,75.0
30,702,16.0,271.0,561.0,75.0
31,3,16.0,231.0,145.0,75.0
31,66,18.0,351.0,203.0,75.0
31,130,23.0,190.0,241.0,75.0
31,193,13.0,151.0,319.0,75.0
31,258,11.0,270.0,257.0,75.0
31,321,12.0,372.0,357.0,75.0
31,385,21.0,141.0,413.0,75.0
31,448,24.0,229.0,514.0,75.0
31,513,24.0,342.0,289.0,75.0
31,564,23.0,280.0,407.0,75.0
31,610,22.0,405.0,437.0,75.0
31,625,15.0,344.0,512.0,75.0
31,642,10.0,234.0,413.0,75.0
31,671,12.0,202.0,492.0,75.0
31,702,16.0,279.0,559.0,75.0
32,3,17.0,231.0,144.0,75.0
32,66,19.0,354.0,195.0,75.0
32,130,23.0,190.0,252.0,75.0
32,193,13.0,152.0,316.0,75.0
32,258,10.0,265.0,258.0,75.0
32,321,12.0,375.0,354.0,75.0
32,385,22.0,136.0,415.0,75.0
32,448,23.0,235.0,511.0,75.0
32,513,24.0,340.0,296.0,75.0
32,564,24.0,284.0,409.0,75.0
32,610,21.0,402.0,446.0,75.0
32,625,16.0,347.0,507.0,75.0
32,642,10.0,232.0,409.0,75.0
32,671,12.0,204.0,510.0,75.0
32,702,16.0,287.0,563.0,75.0
33,3,18.0,225.0,150.0,75.0
33,66,20.0,346.0,198.0,75.0
33,130,23.0,189.0,250.0,75.0
33,193,13.0,144.0,309.0,75.0
33,258,11.0,267.0,252.0,75.0
33,321,12.0,377.0,345.0,75.0
33,385,21.0,137.0,413.0,75.0
33,448,24.0,228.0,509.0,75.0
33,513,24.0,345.0,306.0,75.0
33,564,23.0,280.0,403.0,75.0
33,610,22.0,397.0,448.0,75.0
33,625,16.0,357.0,506.0,75.0
33,642,9.0,239.0,414.0,75.0
33,671,11.0,197.0,516.0,75.0
33,702,15.0,297.0,556.0,75.0
34,3,17.0,228.0,152.0,75.0
34,66,19.0,339.0,199.0,75.0
34,130,24.0,184.0,262.0,75.0
34,193,13.0,162.0,320.0,75.0
34,258,10.0,272.0,256.0,75.0
34,321,12.0,378.0,330.0,75.0
34,385,19.0,150.0,425.0,75.0
34,448,23.0,237.0,510.0,75.0
34,513,23.0,346.0,308.0,75.0
34,564,22.0,275.0,397.0,75.0
34,610,21.0,396.0,447.0,75.0
34,625,16.0,354.0,497.0,75.0
34,642,10.0,237.0,416.0,75.0
34,671,12.0,194.0,525.0,75.0
34,702,15.0,313.0,561.0,75.0
35,4,19.0,233.0,130.0,75.0
35,35,13.0,209.0,163.0,75.0
35,67,20.0,337.0,184.0,75.0
35,98,15.0,362.0,226.0,75.0
35,131,22.0,198.0,224.0,75.0
35,162,23.0,169.0,286.0,75.0
35,194,12.0,150.0,283.0,75.0
35,225,11.0,152.0,354.0,75.0
35,259,10.0,278.0,229.0,75.0
35,290,9.0,271.0,303.0,75.0
35,322,13.0,383.0,319.0,75.0
35,353,11.0,365.0,381.0,75.0
35,386,21.0,131.0,390.0,75.0
35,417,18.0,135.0,457.0,75.0
35,449,27.0,231.0,488.0,75.0
35,480,22.0,242.0,524.0,75.0
35,513,23.0,349.0,290.0,75.0
35,564,22.0,272.0,381.0,75.0
35,610,22.0,392.0,436.0,75.0
35,625,16.0,360.0,489.0,75.0
35,642,10.0,246.0,428.0,75.0
35,671,12.0,199.0,526.0,75.0
35,703,16.0,288.0,566.0,75.0
35,718,15.0,334.0,561.0,75.0
36,4,18.0,232.0,128.0,75.0
36,35,13.0,209.0,171.0,75.0
36,67,20.0,344.0,177.0,75.0
36,98,14.0,367.0,233.0,75.0
36,131,23.0,204.0,225.0,75.0
36,162,23.0,164.0,279.0,75.0
36,194,12.0,151.0,283.0,75.0
36,225,11.0,153.0,364.0,75.0
36,259,10.0,277.0,238.0,75.0
36,290,9.0,266.0,318.0,75.0
36,322,12.0,382.0,325.0,75.0
36,353,12.0,371.0,401.0,75.0
36,386,20.0,119.0,393.0,75.0
36,417,18.0,135.0,468.0,75.0
36,449,28.0,216.0,467.0,75.0
36,480,22.0,242.0,524.0,75.0
36,513,22.0,347.0,284.0,75.0
36,564,23.0,273.0,364.0,75.0
36,610,24.0,387.0,421.0,75.0
36,625,18.0,359.0,482.0,75.0
36,642,11.0,260.0,444.0,75.0
36,671,12.0,215.0,527.0,75.0
36,703,17.0,287.0,569.0,75.0
36,718,18.0,358.0,549.0,75.0
37,4,18.0,238.0,131.0,75.0
37,35,13.0,211.0,170.0,75.0
37,67,21.0,341.0,184.0,75.0
37,98,15.0,371.0,224.0,75.0
37,131,23.0,199.0,225.0,75.0
37,162,23.0,167.0,284.0,75.0
37,194,14.0,148.0,279.0,75.0
37,225,11.0,161.0,366.0,75.0
37,259,11.0,278.0,233.0,75.0
37,290,10.0,267.0,314.0,75.0
37,322,12.0,382.0,324.0,75.0
37,353,12.0,366.0,399.0,75.0
37,386,20.0,104.0,404.0,75.0
37,417,17.0,140.0,471.0,75.0
37,449,25.0,210.0,460.0,75.0
37,480,23.0,245.0,528.0,75.0
37,513,22.0,342.0,284.0,75.0
37,564,21.0,248.0,371.0,75.0
37,610,22.0,376.0,404.0,75.0
37,625,16.0,361.0,487.0,75.0
37,642,10.0,260.0,439.0,75.0
37,671,11.0,222.0,535.0,75.0
37,703,17.0,295.0,578.0,75.0
37,718,21.0,360.0,547.0,75.0
38,4,19.0,237.0,125.0,75.0
38,35,12.0,209.0,172.0,75.0
38,67,23.0,339.0,183.0,75.0
38,98,15.0,379.0,222.0,75.0
38,131,24.0,193.0,224.0,75.0
38,162,23.0,160.0,288.0,75.0
38,194,13.0,140.0,271.0,75.0
38,225,11.0,166.0,381.0,75.0
38,259,10.0,279.0,219.0,75.0
38,290,10.0,270.0,322.0,75.0
38,322,12.0,389.0,321.0,75.0
38,353,12.0,371.0,403.0,75.0
38,386,20.0,98.0,403.0,75.0
38,417,16.0,143.0,480.0,75.0
38,449,25.0,205.0,470.0,75.0
38,480,22.0,250.0,531.0,75.0
38,513,22.0,340.0,284.0,75.0
38,564,22.0,247.0,376.0,75.0
38,610,21.0,377.0,404.0,75.0
38,625,17.0,356.0,484.0,75.0
38,642,10.0,253.0,435.0,75.0
38,671,11.0,226.0,536.0,75.0
38,703,17.0,309.0,586.0,75.0
38,718,22.0,361.0,541.0,75.0
39,4,20.0,250.0,122.0,75.0
39,35,12.0,201.0,168.0,75.0
39,67,23.0,340.0,181.0,75.0
39,98,13.0,387.0,227.0,75.0
39,131,24.0,202.0,215.0,75.0
39,162,23.0,150.0,289.0,75.0
39,194,13.0,149.0,255.0,75.0
39,225,11.0,163.0,394.0,75.0
39,259,9.0,282.0,212.0,75.0
39,290,10.0,267.0,329.0,75.0
39,322,12.0,389.0,309.0,75.0
39,353,11.0,370.0,411.0,75.0
39,386,21.0,102.0,397.0,75.0
39,417,17.0,151.0,497.0,75.0
39,449,26.0,200.0,463.0,75.0
39,480,23.0,254.0,537.0,75.0
39,513,22.0,342.0,286.0,75.0
39,564,23.0,246.0,369.0,75.0
39,610,20.0,378.0,400.0,75.0
39,625,17.0,355.0,480.0,75.0
39,642,10.0,254.0,428.0,75.0
39,671,11.0,227.0,534.0,75.0
39,703,18.0,314.0,586.0,75.0
39,718,22.0,367.0,534.0,75.0
40,4,21.0,254.0,125.0,75.0
40,35,12.0,191.0,164.0,75.0
40,67,24.0,337.0,177.0,75.0
40,98,13.0,386.0,215.0,75.0
40,131,24.0,201.0,213.0,75.0
40,162,23.0,147.0,294.0,75.0
40,194,13.0,154.0,249.0,75.0
40,225,10.0,160.0,395.0,75.0
40,259,9.0,273.0,205.0,75.0
40,290,10.0,272.0,327.0,75.0
40,322,12.0,391.0,305.0,75.0
40,353,11.0,369.0,420.0,75.0
40,386,22.0,109.0,384.0,75.0
40,417,17.0,143.0,503.0,75.0
40,449,25.0,185.0,461.0,75.0
40,480,24.0,248.0,546.0,75.0
40,513,21.0,336.0,282.0,75.0
40,564,23.0,249.0,375.0,75.0
40,610,20.0,389.0,397.0,75.0
40,625,17.0,341.0,477.0,75.0
40,642,10.0,257.0,432.0,75.0
40,671,11.0,233.0,535.0,75.0
40,703,18.0,306.0,590.0,75.0
40,718,22.0,370.0,529.0,75.0
41,4,21.0,250.0,128.0,75.0
41,35,12.0,193.0,164.0,75.0
41,67,22.0,336.0,171.0,75.0
41,98,14.0,385.0,217.0,75.0
41,131,23.0,199.0,211.0,75.0
41,162,23.0,152.0,292.0,75.0
41,194,14.0,150.0,249.0,75.0
41,225,11.0,156.0,389.0,75.0
41,259,11.0,271.0,203.0,75.0
41,290,10.0,274.0,321.0,75.0
41,322,12.0,389.0,305.0,75.0
41,353,11.0,371.0,424.0,75.0
41,386,21.0,110.0,382.0,75.0
41,417,17.0,141.0,499.0,75.0
41,449,25.0,178.0,468.0,75.0
41,480,24.0,239.0,554.0,75.0
41,513,21.0,338.0,283.0,75.0
41,564,23.0,252.0,375.0,75.0
41,610,21.0,380.0,400.0,75.0
41,625,17.0,340.0,474.0,75.0
41,642,10.0,256.0,428.0,75.0
41,671,12.0,233.0,534.0,75.0
41,703,18.0,305.0,586.0,75.0
41,718,23.0,367.0,529.0,75.0
42,4,21.0,247.0,131.0,75.0
42,35,12.0,192.0,162.0,75.0
42,67,22.0,330.0,165.0,75.0
42,98,13.0,386.0,219.0,75.0
42,131,24.0,194.0,213.0,75.0
42,162,23.0,145.0,298.0,75.0
42,194,14.0,149.0,252.0,75.0
42,225,12.0,156.0,390.0,75.0
42,259,11.0,269.0,202.0,75.0
42,290,10.0,273.0,323.0,75.0
42,322,12.0,389.0,306.0,75.0
42,353,11.0,369.0,427.0,75.0
42,386,21.0,109.0,386.0,75.0
42,417,18.0,137.0,497.0,75.0
42,449,25.0,180.0,464.0,75.0
42,480,24.0,235.0,554.0,75.0
42,513,21.0,345.0,272.0,75.0
42,564,23.0,247.0,375.0,75.0
42,610,20.0,376.0,397.0,75.0
42,625,17.0,340.0,479.0,75.0
42,642,11.0,254.0,430.0,75.0
42,671,12.0,227.0,528.0,75.0
42,703,18.0,296.0,586.0,75.0
42,718,21.0,370.0,533.0,75.0
43,4,21.0,246.0,132.0,75.0
43,35,13.0,194.0,157.0,75.0
43,67,21.0,329.0,161.0,75.0
43,98,13.0,388.0,222.0,75.0
43,131,25.0,193.0,211.0,75.0
43,162,24.0,146.0,298.0,75.0
43,194,14.0,137.0,251.0,75.0
43,225,11.0,156.0,391.0,75.0
43,259,10.0,260.0,205.0,75.0
43,290,10.0,272.0,317.0,75.0
43,322,12.0,389.0,310.0,75.0
43,353,11.0,377.0,425.0,75.0
43,386,20.0,113.0,386.0,75.0
43,417,17.0,134.0,496.0,75.0
43,449,25.0,174.0,465.0,75.0
43,480,24.0,234.0,555.0,75.0
43,513,22.0,336.0,268.0,75.0
43,564,21.0,241.0,366.0,75.0
43,610,20.0,368.0,394.0,75.0
43,625,18.0,337.0,474.0,75.0
43,642,11.0,258.0,429.0,75.0
43,671,12.0,227.0,536.0,75.0
43,703,19.0,291.0,586.0,75.0
43,718,21.0,372.0,528.0,75.0
44,4,20.0,245.0,133.0,75.0
44,35,13.0,190.0,161.0,75.0
44,67,20.0,337.0,160.0,75.0
44,98,13.0,387.0,226.0,75.0
44,131,24.0,188.0,212.0,75.0
44,162,25.0,143.0,300.0,75.0
44,194,14.0,143.0,251.0,75.0
44,225,11.0,152.0,392.0,75.0
44,259,10.0,260.0,205.0,75.0
44,290,10.0,269.0,320.0,75.0
44,322,12.0,390.0,316.0,75.0
44,353,11.0,376.0,430.0,75.0
44,386,20.0,115.0,387.0,75.0
44,417,17.0,135.0,499.0,75.0
44,449,25.0,178.0,459.0,75.0
44,480,23.0,233.0,565.0,75.0
44,513,22.0,335.0,256.0,75.0
44,564,21.0,254.0,365.0,75.0
44,610,20.0,366.0,386.0,75.0
44,625,18.0,338.0,476.0,75.0
44,642,11.0,257.0,426.0,75.0
44,671,13.0,228.0,537.0,75.0
44,703,18.0,293.0,590.0,75.0
44,718,22.0,369.0,529.0,75.0
45,4,20.0,232.0,130.0,75.0
45,35,13.0,180.0,172.0,75.0
45,67,18.0,329.0,151.0,75.0
45,98,13.0,387.0,231.0,75.0
45,131,24.0,185.0,210.0,75.0
45,162,23.0,148.0,302.0,75.0
45,194,14.0,142.0,260.0,75.0
45,225,11.0,153.0,396.0,75.0
45,259,9.0,267.0,207.0,75.0
45,290,10.0,262.0,316.0,75.0
45,322,12.0,384.0,318.0,75.0
45,353,11.0,376.0,431.0,75.0
45,386,20.0,115.0,382.0,75.0
45,417,17.0,128.0,493.0,75.0
45,449,25.0,171.0,462.0,75.0
45,480,24.0,236.0,562.0,75.0
45,514,22.0,324.0,236.0,75.0
45,541,20.0,347.0,291.0,75.0
45,565,22.0,248.0,334.0,75.0
45,590,22.0,237.0,403.0,75.0
45,610,20.0,357.0,388.0,75.0
45,625,19.0,336.0,478.0,75.0
45,642,11.0,261.0,427.0,75.0
45,671,12.0,225.0,540.0,75.0
45,703,17.0,303.0,587.0,75.0
45,718,22.0,369.0,530.0,75.0
46,4,19.0,231.0,129.0,75.0
46,35,13.0,183.0,180.0,75.0
46,67,18.0,330.0,147.0,75.0
46,98,13.0,392.0,239.0,75.0
46,131,23.0,189.0,204.0,75.0
46,162,23.0,145.0,297.0,75.0
46,194,13.0,149.0,264.0,75.0
46,225,10.0,153.0,393.0,75.0
46,259,9.0,271.0,213.0,75.0
46,290,10.0,275.0,324.0,75.0
46,322,12.0,389.0,323.0,75.0
46,353,12.0,382.0,432.0,75.0
46,386,20.0,117.0,374.0,75.0
46,417,16.0,128.0,489.0,75.0
46,449,25.0,165.0,469.0,75.0
46,480,23.0,228.0,566.0,75.0
46,514,23.0,325.0,235.0,75.0
46,541,20.0,357.0,291.0,75.0
46,565,23.0,247.0,326.0,75.0
46,590,23.0,230.0,409.0,75.0
46,610,20.0,348.0,391.0,75.0
46,625,19.0,335.0,475.0,75.0
46,642,12.0,262.0,419.0,75.0
46,671,13.0,223.0,534.0,75.0
46,703,17.0,304.0,583.0,75.0
46,718,22.0,365.0,534.0,75.0
47,4,19.0,232.0,131.0,75.0
47,35,13.0,188.0,178.0,75.0
47,67,17.0,328.0,154.0,75.0
47,98,14.0,390.0,240.0,75.0
47,131,23.0,183.0,203.0,75.0
47,162,24.0,145.0,298.0,75.0
47,194,13.0,156.0,256.0,75.0
47,225,12.0,153.0,388.0,75.0
47,259,9.0,287.0,217.0,75.0
47,290,10.0,274.0,318.0,75.0
47,322,13.0,388.0,325.0,75.0
47,353,12.0,383.0,434.0,75.0
47,386,19.0,116.0,371.0,75.0
47,417,16.0,127.0,485.0,75.0
47,449,24.0,172.0,479.0,75.0
47,480,23.0,224.0,570.0,75.0
47,514,26.0,326.0,231.0,75.0
47,541,21.0,365.0,290.0,75.0
47,565,23.0,243.0,322.0,75.0
47,590,24.0,233.0,410.0,75.0
47,610,20.0,348.0,390.0,75.0
47,625,20.0,327.0,477.0,75.0
47,642,12.0,262.0,408.0,75.0
47,671,13.0,224.0,527.0,75.0
47,703,17.0,303.0,584.0,75.0
47,718,23.0,360.0,538.0,75.0
48,4,19.0,235.0,131.0,75.0
48,35,12.0,198.0,180.0,75.0
48,67,19.0,330.0,155.0,75.0
48,98,15.0,391.0,244.0,75.0
48,131,24.0,186.0,202.0,75.0
48,162,22.0,142.0,294.0,75.0
48,194,13.0,153.0,263.0,75.0
48,225,11.0,152.0,393.0,75.0
48,259,9.0,291.0,214.0,75.0
48,290,9.0,272.0,313.0,75.0
48,322,13.0,392.0,322.0,75.0
48,353,12.0,382.0,429.0,75.0
48,386,19.0,120.0,373.0,75.0
48,417,17.0,130.0,487.0,75.0
48,449,24.0,174.0,487.0,75.0
48,480,23.0,227.0,567.0,75.0
48,514,27.0,315.0,225.0,75.0
48,541,21.0,373.0,276.0,75.0
48,565,23.0,239.0,322.0,75.0
48,590,24.0,227.0,423.0,75.0
48,610,21.0,346.0,382.0,75.0
48,625,20.0,324.0,476.0,75.0
48,642,12.0,263.0,409.0,75.0
48,671,13.0,224.0,530.0,75.0
48,703,17.0,306.0,578.0,75.0
48,718,22.0,359.0,539.0,75.0
49,4,19.0,235.0,126.0,75.0
49,35,12.0,198.0,180.0,75.0
49,67,19.0,330.0,154.0,75.0
49,98,15.0,395.0,238.0,75.0
49,131,23.0,189.0,205.0,75.0
49,162,23.0,141.0,294.0,75.0
49,194,13.0,138.0,265.0,75.0
