cell_id,Name,parent_id,start_frame,end_frame,generation
194,ABpa,193,35,59,3
195,ABpaa,194,60,85,4
196,ABpaaa,195,86,130,5
197,ABpaaaa,196,131,178,6
198,ABpaaaaa,197,179,194,7
199,ABpaaaap,197,179,194,7
200,ABpaaap,196,131,179,6
201,ABpaaapa,200,180,194,7
202,ABpaaapp,200,180,194,7
203,ABpaap,195,86,119,5
204,ABpaapp,203,120,162,6
205,ABpaappp,204,163,194,7
206,ABpaappa,204,163,194,7
207,ABpaapa,203,120,162,6
208,ABpaapaa,207,163,194,7
209,ABpaapap,207,163,194,7
210,ABpap,194,60,85,4
211,ABpapa,210,86,119,5
212,ABpapap,211,120,167,6
213,ABpapapa,212,168,194,7
214,ABpapapp,212,168,194,7
215,ABpapaa,211,120,165,6
216,ABpapaaa,215,166,194,7
217,ABpapaap,215,166,194,7
218,ABpapp,210,86,121,5
219,ABpappp,218,122,171,6
220,ABpapppa,219,172,194,7
221,ABpapppp,219,172,194,7
222,ABpappa,218,122,167,6
223,ABpappap,222,168,194,7
224,ABpappaa,222,168,194,7
225,ABpp,193,35,60,3
226,ABppp,225,61,87,4
227,ABpppa,226,88,128,5
228,ABpppaa,227,129,179,6
229,ABpppaaa,228,180,194,7
230,ABpppaap,228,180,194,7
231,ABpppap,227,129,174,6
232,ABpppapa,231,175,194,7
233,ABpppapp,231,175,194,7
234,ABpppp,226,88,128,5
235,ABppppa,234,129,182,6
236,ABppppap,235,183,194,7
237,ABppppaa,235,183,194,7
238,ABppppp,234,129,185,6
239,ABpppppp,238,186,194,7
240,ABpppppa,238,186,194,7
241,ABppa,225,61,88,4
242,ABppaa,241,89,124,5
243,ABppaap,242,125,176,6
244,ABppaapa,243,177,194,7
245,ABppaapp,243,177,194,7
246,ABppaaa,242,125,170,6
247,ABppaaaa,246,171,194,7
248,ABppaaap,246,171,194,7
249,ABppap,241,89,126,5
250,ABppapa,249,127,176,6
251,ABppapaa,250,177,194,7
252,ABppapap,250,177,194,7
253,ABppapp,249,127,175,6
254,ABppappa,253,176,194,7
255,ABppappp,253,176,194,7
256,Unknown_256,0,0,3,0
257,Unknown_257,256,4,18,0
258,Unknown_258,257,19,34,0
259,Unknown_259,258,35,57,0
260,Unknown_260,259,58,84,0
261,Unknown_261,260,85,118,0
262,Unknown_262,261,119,166,0
263,Unknown_263,262,167,194,0
264,Unknown_264,262,167,194,0
265,Unknown_265,261,119,166,0
266,Unknown_266,265,167,194,0
267,Unknown_267,265,167,194,0
268,Unknown_268,260,85,121,0
269,Unknown_269,268,122,172,0
270,Unknown_270,269,173,194,0
271,Unknown_271,269,173,194,0
272,Unknown_272,268,122,165,0
273,Unknown_273,272,166,194,0
274,Unknown_274,272,166,194,0
275,Unknown_275,259,58,83,0
276,Unknown_276,275,84,119,0
277,Unknown_277,276,120,164,0
278,Unknown_278,277,165,194,0
279,Unknown_279,277,165,194,0
280,Unknown_280,276,120,163,0
281,Unknown_281,280,164,194,0
282,Unknown_282,280,164,194,0
283,Unknown_283,275,84,114,0
284,Unknown_284,283,115,162,0
285,Unknown_285,284,163,194,0
286,Unknown_286,284,163,194,0
287,Unknown_287,283,115,155,0
288,Unknown_288,287,156,194,0
289,Unknown_289,287,156,194,0
290,Unknown_290,258,35,58,0
291,Unknown_291,290,59,86,0
292,Unknown_292,291,87,125,0
293,Unknown_293,292,126,171,0
294,Unknown_294,293,172,194,0
295,Unknown_295,293,172,194,0
296,Unknown_296,292,126,174,0
297,Unknown_297,296,175,194,0
298,Unknown_298,296,175,194,0
299,Unknown_299,291,87,120,0
300,Unknown_300,299,121,171,0
301,Unknown_301,300,172,194,0
302,Unknown_302,300,172,194,0
303,Unknown_303,299,121,165,0
304,Unknown_304,303,166,194,0
305,Unknown_305,303,166,194,0
306,Unknown_306,290,59,85,0
307,Unknown_307,306,86,123,0
308,Unknown_308,307,124,170,0
309,Unknown_309,308,171,194,0
310,Unknown_310,308,171,194,0
311,Unknown_311,307,124,169,0
312,Unknown_312,311,170,194,0
313,Unknown_313,311,170,194,0
314,Unknown_314,306,86,123,0
315,Unknown_315,314,124,173,0
316,Unknown_316,315,174,194,0
317,Unknown_317,315,174,194,0
318,Unknown_318,314,124,173,0
319,Unknown_319,318,174,194,0
320,Unknown_320,318,174,194,0
321,Unknown_321,257,19,34,0
322,Unknown_322,321,35,58,0
323,Unknown_323,322,59,87,0
324,Unknown_324,323,88,120,0
325,Unknown_325,324,121,165,0
326,Unknown_326,325,166,194,0
327,Unknown_327,325,166,194,0
328,Unknown_328,324,121,164,0
329,Unknown_329,328,165,194,0
330,Unknown_330,328,165,194,0
331,Unknown_331,323,88,121,0
332,Unknown_332,331,122,166,0
333,Unknown_333,332,167,194,0
334,Unknown_334,332,167,194,0
335,Unknown_335,331,122,165,0
336,Unknown_336,335,166,194,0
337,Unknown_337,335,166,194,0
338,Unknown_338,322,59,85,0
339,Unknown_339,338,86,120,0
340,Unknown_340,339,121,168,0
341,Unknown_341,340,169,194,0
342,Unknown_342,340,169,194,0
343,Unknown_343,339,121,168,0
344,Unknown_344,343,169,194,0
345,Unknown_345,343,169,194,0
346,Unknown_346,338,86,118,0
347,Unknown_347,346,119,158,0
348,Unknown_348,347,159,194,0
349,Unknown_349,347,159,194,0
350,Unknown_350,346,119,168,0
351,Unknown_351,350,169,194,0
352,Unknown_352,350,169,194,0
353,Unknown_353,321,35,59,0
354,Unknown_354,353,60,89,0
355,Unknown_355,354,90,129,0
356,Unknown_356,355,130,178,0
357,Unknown_357,356,179,194,0
358,Unknown_358,356,179,194,0
359,Unknown_359,355,130,175,0
360,Unknown_360,359,176,194,0
361,Unknown_361,359,176,194,0
362,Unknown_362,354,90,125,0
363,Unknown_363,362,126,171,0
364,Unknown_364,363,172,194,0
365,Unknown_365,363,172,194,0
366,Unknown_366,362,126,171,0
367,Unknown_367,366,172,194,0
368,Unknown_368,366,172,194,0
369,Unknown_369,353,60,88,0
370,Unknown_370,369,89,124,0
371,Unknown_371,370,125,170,0
372,Unknown_372,371,171,194,0
373,Unknown_373,371,171,194,0
374,Unknown_374,370,125,170,0
375,Unknown_375,374,171,194,0
376,Unknown_376,374,171,194,0
377,Unknown_377,369,89,122,0
378,Unknown_378,377,123,167,0
379,Unknown_379,378,168,194,0
380,Unknown_380,378,168,194,0
381,Unknown_381,377,123,168,0
382,Unknown_382,381,169,194,0
383,Unknown_383,381,169,194,0
384,Unknown_384,256,4,17,0
385,Unknown_385,384,18,34,0
386,Unknown_386,385,35,58,0
387,Unknown_387,386,59,86,0
388,Unknown_388,387,87,123,0
389,Unknown_389,388,124,173,0
390,Unknown_390,389,174,194,0
391,Unknown_391,389,174,194,0
392,Unknown_392,388,124,167,0
393,Unknown_393,392,168,194,0
394,Unknown_394,392,168,194,0
395,Unknown_395,387,87,120,0
396,Unknown_396,395,121,167,0
397,Unknown_397,396,168,194,0
398,Unknown_398,396,168,194,0
399,Unknown_399,395,121,160,0
400,Unknown_400,399,161,194,0
401,Unknown_401,399,161,194,0
402,Unknown_402,386,59,84,0
403,Unknown_403,402,85,120,0
404,Unknown_404,403,121,167,0
405,Unknown_405,404,168,194,0
406,Unknown_406,404,168,194,0
407,Unknown_407,403,121,165,0
408,Unknown_408,407,166,194,0
409,Unknown_409,407,166,194,0
410,Unknown_410,402,85,117,0
411,Unknown_411,410,118,166,0
412,Unknown_412,411,167,194,0
413,Unknown_413,411,167,194,0
414,Unknown_414,410,118,161,0
415,Unknown_415,414,162,194,0
416,Unknown_416,414,162,194,0
417,Unknown_417,385,35,58,0
418,Unknown_418,417,59,84,0
419,Unknown_419,418,85,120,0
420,Unknown_420,419,121,165,0
421,Unknown_421,420,166,194,0
422,Unknown_422,420,166,194,0
423,Unknown_423,419,121,171,0
424,Unknown_424,423,172,194,0
425,Unknown_425,423,172,194,0
426,Unknown_426,418,85,118,0
427,Unknown_427,426,119,166,0
428,Unknown_428,427,167,194,0
429,Unknown_429,427,167,194,0
430,Unknown_430,426,119,162,0
431,Unknown_431,430,163,194,0
432,Unknown_432,430,163,194,0
433,Unknown_433,417,59,85,0
434,Unknown_434,433,86,122,0
435,Unknown_435,434,123,169,0
436,Unknown_436,435,170,194,0
437,Unknown_437,435,170,194,0
438,Unknown_438,434,123,168,0
439,Unknown_439,438,169,194,0
440,Unknown_440,438,169,194,0
441,Unknown_441,433,86,124,0
442,Unknown_442,441,125,176,0
443,Unknown_443,442,177,194,0
444,Unknown_444,442,177,194,0
445,Unknown_445,441,125,176,0
446,Unknown_446,445,177,194,0
447,Unknown_447,445,177,194,0
448,Unknown_448,384,18,34,0
449,Unknown_449,448,35,58,0
450,Unknown_450,449,59,86,0
451,Unknown_451,450,87,120,0
452,Unknown_452,451,121,163,0
453,Unknown_453,452,164,194,0
454,Unknown_454,452,164,194,0
455,Unknown_455,451,121,166,0
456,Unknown_456,455,167,194,0
457,Unknown_457,455,167,194,0
458,Unknown_458,450,87,119,0
459,Unknown_459,458,120,164,0
460,Unknown_460,459,165,194,0
461,Unknown_461,459,165,194,0
462,Unknown_462,458,120,162,0
463,Unknown_463,462,163,194,0
464,Unknown_464,462,163,194,0
465,Unknown_465,449,59,85,0
466,Unknown_466,465,86,120,0
467,Unknown_467,466,121,169,0
468,Unknown_468,467,170,194,0
469,Unknown_469,467,170,194,0
470,Unknown_470,466,121,165,0
471,Unknown_471,470,166,194,0
472,Unknown_472,470,166,194,0
473,Unknown_473,465,86,119,0
474,Unknown_474,473,120,164,0
475,Unknown_475,474,165,194,0
476,Unknown_476,474,165,194,0
477,Unknown_477,473,120,165,0
478,Unknown_478,477,166,194,0
479,Unknown_479,477,166,194,0
480,Unknown_480,448,35,59,0
481,Unknown_481,480,60,88,0
482,Unknown_482,481,89,126,0
483,Unknown_483,482,127,173,0
484,Unknown_484,483,174,194,0
485,Unknown_485,483,174,194,0
486,Unknown_486,482,127,174,0
487,Unknown_487,486,175,194,0
488,Unknown_488,486,175,194,0
489,Unknown_489,481,89,124,0
490,Unknown_490,489,125,169,0
491,Unknown_491,490,170,194,0
492,Unknown_492,490,170,194,0
493,Unknown_493,489,125,173,0
494,Unknown_494,493,174,194,0
495,Unknown_495,493,174,194,0
496,Unknown_496,480,60,86,0
497,Unknown_497,496,87,119,0
498,Unknown_498,497,120,165,0
499,Unknown_499,498,166,194,0
500,Unknown_500,498,166,194,0
501,Unknown_501,497,120,165,0
502,Unknown_502,501,166,194,0
503,Unknown_503,501,166,194,0
504,Unknown_504,496,87,120,0
505,Unknown_505,504,121,165,0
506,Unknown_506,505,166,194,0
507,Unknown_507,505,166,194,0
508,Unknown_508,504,121,166,0
509,Unknown_509,508,167,194,0
510,Unknown_510,508,167,194,0
511,Unknown_511,0,0,6,0
512,Unknown_512,511,7,23,0
513,Unknown_513,512,24,44,0
514,Unknown_514,513,45,67,0
515,Unknown_515,514,68,96,0
516,Unknown_516,515,97,126,0
517,Unknown_517,516,127,163,0
518,Unknown_518,517,164,194,0
519,Unknown_519,517,164,194,0
520,Unknown_520,516,127,169,0
521,Unknown_521,520,170,194,0
522,Unknown_522,520,170,194,0
523,Unknown_523,515,97,130,0
524,Unknown_524,523,131,166,0
525,Unknown_525,524,167,194,0
526,Unknown_526,524,167,194,0
527,Unknown_527,523,131,191,0
528,Unknown_528,527,192,194,0
529,Unknown_529,527,192,194,0
530,Unknown_530,514,68,96,0
531,Unknown_531,530,97,128,0
532,Unknown_532,531,129,164,0
533,Unknown_533,532,165,194,0
534,Unknown_534,532,165,194,0
535,Unknown_535,531,129,174,0
536,Unknown_536,535,175,194,0
537,Unknown_537,535,175,194,0
538,Unknown_538,530,97,134,0
539,Unknown_539,538,135,194,0
540,Unknown_540,538,135,194,0
541,Unknown_541,513,45,69,0
542,Unknown_542,541,70,97,0
543,Unknown_543,542,98,132,0
544,Unknown_544,543,133,178,0
545,Unknown_545,544,179,194,0
546,Unknown_546,544,179,194,0
547,Unknown_547,543,133,189,0
548,Unknown_548,547,190,194,0
549,Unknown_549,547,190,194,0
550,Unknown_550,542,98,136,0
551,Unknown_551,550,137,180,0
552,Unknown_552,551,181,194,0
553,Unknown_553,551,181,194,0
554,Unknown_554,550,137,191,0
555,Unknown_555,554,192,194,0
556,Unknown_556,554,192,194,0
557,Unknown_557,541,70,100,0
558,Unknown_558,557,101,144,0
559,Unknown_559,558,145,194,0
560,Unknown_560,558,145,194,0
561,Unknown_561,557,101,145,0
562,Unknown_562,561,146,194,0
563,Unknown_563,561,146,194,0
564,Unknown_564,512,24,44,0
565,Unknown_565,564,45,68,0
566,Unknown_566,565,69,98,0
567,Unknown_567,566,99,129,0
568,Unknown_568,567,130,167,0
569,Unknown_569,568,168,194,0
570,Unknown_570,568,168,194,0
571,Unknown_571,567,130,169,0
572,Unknown_572,571,170,194,0
573,Unknown_573,571,170,194,0
574,Unknown_574,566,99,135,0
575,Unknown_575,574,136,175,0
576,Unknown_576,575,176,194,0
577,Unknown_577,575,176,194,0
578,Unknown_578,574,136,194,0
579,Unknown_579,565,69,97,0
580,Unknown_580,579,98,128,0
581,Unknown_581,580,129,168,0
582,Unknown_582,581,169,194,0
583,Unknown_583,581,169,194,0
584,Unknown_584,580,129,174,0
585,Unknown_585,584,175,194,0
586,Unknown_586,584,175,194,0
587,Unknown_587,579,98,138,0
588,Unknown_588,587,139,194,0
589,Unknown_589,587,139,194,0
590,Unknown_590,564,45,70,0
591,Unknown_591,590,71,100,0
592,Unknown_592,591,101,137,0
593,Unknown_593,592,138,181,0
594,Unknown_594,593,182,194,0
595,Unknown_595,593,182,194,0
596,Unknown_596,592,138,194,0
597,Unknown_597,591,101,137,0
598,Unknown_598,597,138,182,0
599,Unknown_599,598,183,194,0
600,Unknown_600,598,183,194,0
601,Unknown_601,597,138,194,0
602,Unknown_602,590,71,102,0
603,Unknown_603,602,103,142,0
604,Unknown_604,603,143,194,0
605,Unknown_605,603,143,194,0
606,Unknown_606,602,103,145,0
607,Unknown_607,606,146,194,0
608,Unknown_608,606,146,194,0
609,Unknown_609,511,7,24,0
610,Unknown_610,609,25,60,0
611,Unknown_611,610,61,105,0
612,Unknown_612,611,106,169,0
613,Unknown_613,612,170,194,0
614,Unknown_614,612,170,194,0
615,Unknown_615,611,106,169,0
616,Unknown_616,615,170,194,0
617,Unknown_617,615,170,194,0
618,Unknown_618,610,61,101,0
619,Unknown_619,618,102,166,0
620,Unknown_620,619,167,194,0
621,Unknown_621,619,167,194,0
622,Unknown_622,618,102,171,0
623,Unknown_623,622,172,194,0
624,Unknown_624,622,172,194,0
625,Unknown_625,609,25,63,0
626,Unknown_626,625,64,107,0
627,Unknown_627,626,108,175,0
628,Unknown_628,627,176,194,0
629,Unknown_629,627,176,194,0
630,Unknown_630,626,108,182,0
631,Unknown_631,630,183,194,0
632,Unknown_632,630,183,194,0
633,Unknown_633,625,64,104,0
634,Unknown_634,633,105,176,0
635,Unknown_635,634,177,194,0
636,Unknown_636,634,177,194,0
637,Unknown_637,633,105,181,0
638,Unknown_638,637,182,194,0
639,Unknown_639,637,182,194,0
640,Unknown_640,0,0,10,0
641,Unknown_641,640,11,28,0
642,Unknown_642,641,29,51,0
643,Unknown_643,642,52,79,0
644,Unknown_644,643,80,110,0
645,Unknown_645,644,111,154,0
646,Unknown_646,645,155,194,0
647,Unknown_647,645,155,194,0
648,Unknown_648,644,111,151,0
649,Unknown_649,648,152,194,0
650,Unknown_650,648,152,194,0
651,Unknown_651,643,80,117,0
652,Unknown_652,651,118,194,0
653,Unknown_653,651,118,165,0
654,Unknown_654,653,166,194,0
655,Unknown_655,653,166,194,0
656,Unknown_656,642,52,84,0
657,Unknown_657,656,85,131,0
658,Unknown_658,657,132,184,0
659,Unknown_659,658,185,194,0
660,Unknown_660,658,185,194,0
661,Unknown_661,657,132,185,0
662,Unknown_662,661,186,194,0
663,Unknown_663,661,186,194,0
664,Unknown_664,656,85,126,0
665,Unknown_665,664,127,173,0
666,Unknown_666,665,174,194,0
667,Unknown_667,665,174,194,0
668,Unknown_668,664,127,178,0
669,Unknown_669,668,179,194,0
670,Unknown_670,668,179,194,0
671,Unknown_671,641,29,51,0
672,Unknown_672,671,52,79,0
673,Unknown_673,672,80,112,0
674,Unknown_674,673,113,176,0
675,Unknown_675,674,177,194,0
676,Unknown_676,674,177,194,0
677,Unknown_677,673,113,155,0
678,Unknown_678,677,156,194,0
679,Unknown_679,677,156,194,0
680,Unknown_680,672,80,111,0
681,Unknown_681,680,112,162,0
682,Unknown_682,681,163,194,0
683,Unknown_683,681,163,194,0
684,Unknown_684,680,112,160,0
685,Unknown_685,684,161,194,0
686,Unknown_686,684,161,194,0
687,Unknown_687,671,52,81,0
688,Unknown_688,687,82,128,0
689,Unknown_689,688,129,182,0
690,Unknown_690,689,183,194,0
691,Unknown_691,689,183,194,0
692,Unknown_692,688,129,180,0
693,Unknown_693,692,181,194,0
694,Unknown_694,692,181,194,0
695,Unknown_695,687,82,121,0
696,Unknown_696,695,122,171,0
697,Unknown_697,696,172,194,0
698,Unknown_698,696,172,194,0
699,Unknown_699,695,122,169,0
700,Unknown_700,699,170,194,0
701,Unknown_701,699,170,194,0
702,Unknown_702,640,11,34,0
703,Unknown_703,702,35,65,0
704,Unknown_704,703,66,108,0
705,Unknown_705,704,109,154,0
706,Unknown_706,705,155,194,0
707,Unknown_707,705,155,194,0
708,Unknown_708,704,109,147,0
709,Unknown_709,708,148,194,0
710,Unknown_710,708,148,194,0
711,Unknown_711,703,66,105,0
712,Unknown_712,711,106,153,0
713,Unknown_713,712,154,194,0
714,Unknown_714,712,154,194,0
715,Unknown_715,711,106,146,0
716,Unknown_716,715,147,194,0
717,Unknown_717,715,147,194,0
718,Unknown_718,702,35,88,0
719,Unknown_719,718,89,194,0
720,Unknown_720,718,89,194,0
