t,cell_id,z,y,x,volume,Name
18,66,19.0,260.0,167.0,75.0,P2
18,129,14.0,168.0,308.0,75.0,AB
18,257,13.0,354.0,296.0,75.0,Unknown_257
18,385,21.0,160.0,445.0,75.0,Unknown_385
18,448,22.0,196.0,455.0,75.0,Unknown_448
18,512,24.0,285.0,322.0,75.0,Unknown_512
18,609,20.0,363.0,474.0,75.0,Unknown_609
18,641,10.0,261.0,491.0,75.0,Unknown_641
18,702,19.0,335.0,564.0,75.0,Unknown_702
19,3,14.0,245.0,150.0,75.0,EMS
19,66,21.0,287.0,169.0,75.0,P2
19,130,17.0,153.0,282.0,75.0,ABa
19,193,12.0,156.0,332.0,75.0,ABp
19,258,10.0,322.0,280.0,75.0,Unknown_258
19,321,14.0,366.0,317.0,75.0,Unknown_321
19,385,22.0,159.0,438.0,75.0,Unknown_385
19,448,22.0,222.0,466.0,75.0,Unknown_448
19,512,23.0,299.0,334.0,75.0,Unknown_512
19,609,18.0,368.0,476.0,75.0,Unknown_609
19,641,10.0,237.0,501.0,75.0,Unknown_641
19,702,18.0,328.0,568.0,75.0,Unknown_702
20,3,17.0,254.0,144.0,75.0,EMS
20,66,21.0,299.0,176.0,75.0,P2
20,130,20.0,151.0,279.0,75.0,ABa
20,193,13.0,153.0,330.0,75.0,ABp
20,258,10.0,298.0,277.0,75.0,Unknown_258
20,321,13.0,356.0,324.0,75.0,Unknown_321
20,385,23.0,160.0,438.0,75.0,Unknown_385
20,448,22.0,233.0,473.0,75.0,Unknown_448
20,512,22.0,309.0,341.0,75.0,Unknown_512
20,609,18.0,372.0,475.0,75.0,Unknown_609
20,641,11.0,213.0,508.0,75.0,Unknown_641
20,702,17.0,319.0,575.0,75.0,Unknown_702
21,3,15.0,243.0,149.0,75.0,EMS
21,66,20.0,310.0,192.0,75.0,P2
21,130,21.0,160.0,266.0,75.0,ABa
21,193,14.0,154.0,323.0,75.0,ABp
21,258,10.0,304.0,269.0,75.0,Unknown_258
21,321,12.0,358.0,334.0,75.0,Unknown_321
21,385,23.0,154.0,429.0,75.0,Unknown_385
21,448,22.0,231.0,478.0,75.0,Unknown_448
21,512,21.0,315.0,340.0,75.0,Unknown_512
21,609,18.0,358.0,478.0,75.0,Unknown_609
21,641,11.0,201.0,501.0,75.0,Unknown_641
21,702,17.0,298.0,578.0,75.0,Unknown_702
22,3,15.0,232.0,143.0,75.0,EMS
22,66,21.0,333.0,203.0,75.0,P2
22,130,22.0,169.0,251.0,75.0,ABa
22,193,13.0,154.0,336.0,75.0,ABp
22,258,9.0,303.0,259.0,75.0,Unknown_258
22,321,12.0,358.0,353.0,75.0,Unknown_321
22,385,23.0,145.0,411.0,75.0,Unknown_385
22,448,22.0,237.0,478.0,75.0,Unknown_448
22,512,19.0,314.0,331.0,75.0,Unknown_512
22,609,18.0,357.0,489.0,75.0,Unknown_609
22,641,11.0,198.0,502.0,75.0,Unknown_641
22,702,18.0,285.0,579.0,75.0,Unknown_702
23,3,16.0,235.0,134.0,75.0,EMS
23,66,20.0,344.0,203.0,75.0,P2
23,130,23.0,181.0,238.0,75.0,ABa
23,193,12.0,154.0,333.0,75.0,ABp
23,258,10.0,284.0,248.0,75.0,Unknown_258
23,321,10.0,358.0,370.0,75.0,Unknown_321
23,385,23.0,135.0,394.0,75.0,Unknown_385
23,448,23.0,243.0,482.0,75.0,Unknown_448
23,512,20.0,329.0,335.0,75.0,Unknown_512
23,609,19.0,344.0,485.0,75.0,Unknown_609
23,641,11.0,204.0,495.0,75.0,Unknown_641
23,702,18.0,272.0,578.0,75.0,Unknown_702
24,3,17.0,237.0,128.0,75.0,EMS
24,66,18.0,361.0,192.0,75.0,P2
24,130,24.0,191.0,242.0,75.0,ABa
24,193,12.0,153.0,331.0,75.0,ABp
24,258,10.0,258.0,245.0,75.0,Unknown_258
24,321,11.0,355.0,375.0,75.0,Unknown_321
24,385,23.0,132.0,384.0,75.0,Unknown_385
24,448,23.0,242.0,503.0,75.0,Unknown_448
24,513,21.0,333.0,310.0,75.0,Unknown_513
24,564,21.0,303.0,362.0,75.0,Unknown_564
24,609,18.0,354.0,483.0,75.0,Unknown_609
24,641,12.0,207.0,487.0,75.0,Unknown_641
24,702,17.0,267.0,577.0,75.0,Unknown_702
25,3,17.0,227.0,131.0,75.0,EMS
25,66,16.0,352.0,184.0,75.0,P2
25,130,24.0,195.0,237.0,75.0,ABa
25,193,13.0,147.0,334.0,75.0,ABp
25,258,10.0,248.0,251.0,75.0,Unknown_258
25,321,10.0,352.0,378.0,75.0,Unknown_321
25,385,23.0,131.0,382.0,75.0,Unknown_385
25,448,24.0,248.0,510.0,75.0,Unknown_448
25,513,20.0,336.0,300.0,75.0,Unknown_513
25,564,20.0,296.0,365.0,75.0,Unknown_564
25,610,18.0,374.0,454.0,75.0,Unknown_610
25,625,17.0,354.0,503.0,75.0,Unknown_625
25,641,12.0,213.0,479.0,75.0,Unknown_641
25,702,17.0,263.0,576.0,75.0,Unknown_702
26,3,17.0,235.0,132.0,75.0,EMS
26,66,16.0,358.0,186.0,75.0,P2
26,130,24.0,191.0,226.0,75.0,ABa
26,193,12.0,151.0,336.0,75.0,ABp
26,258,10.0,252.0,256.0,75.0,Unknown_258
26,321,10.0,348.0,394.0,75.0,Unknown_321
26,385,23.0,128.0,386.0,75.0,Unknown_385
26,448,24.0,241.0,513.0,75.0,Unknown_448
26,513,21.0,344.0,299.0,75.0,Unknown_513
26,564,21.0,289.0,369.0,75.0,Unknown_564
26,610,19.0,379.0,445.0,75.0,Unknown_610
26,625,17.0,349.0,510.0,75.0,Unknown_625
26,641,13.0,220.0,473.0,75.0,Unknown_641
26,702,17.0,258.0,577.0,75.0,Unknown_702
27,3,17.0,237.0,135.0,75.0,EMS
27,66,16.0,361.0,191.0,75.0,P2
27,130,24.0,190.0,221.0,75.0,ABa
27,193,12.0,151.0,331.0,75.0,ABp
27,258,10.0,254.0,259.0,75.0,Unknown_258
27,321,10.0,348.0,395.0,75.0,Unknown_321
27,385,22.0,126.0,381.0,75.0,Unknown_385
27,448,24.0,230.0,512.0,75.0,Unknown_448
27,513,22.0,350.0,285.0,75.0,Unknown_513
27,564,21.0,282.0,379.0,75.0,Unknown_564
27,610,19.0,385.0,444.0,75.0,Unknown_610
27,625,18.0,341.0,514.0,75.0,Unknown_625
27,641,13.0,219.0,464.0,75.0,Unknown_641
27,702,18.0,258.0,575.0,75.0,Unknown_702
28,3,16.0,238.0,133.0,75.0,EMS
28,66,15.0,364.0,194.0,75.0,P2
28,130,25.0,198.0,220.0,75.0,ABa
28,193,12.0,151.0,325.0,75.0,ABp
28,258,10.0,254.0,264.0,75.0,Unknown_258
28,321,10.0,358.0,398.0,75.0,Unknown_321
28,385,22.0,132.0,381.0,75.0,Unknown_385
28,448,25.0,221.0,515.0,75.0,Unknown_448
28,513,23.0,354.0,274.0,75.0,Unknown_513
28,564,22.0,273.0,398.0,75.0,Unknown_564
28,610,21.0,396.0,440.0,75.0,Unknown_610
28,625,17.0,331.0,522.0,75.0,Unknown_625
28,641,12.0,217.0,461.0,75.0,Unknown_641
28,702,17.0,255.0,570.0,75.0,Unknown_702
29,3,16.0,235.0,133.0,75.0,EMS
29,66,15.0,365.0,193.0,75.0,P2
29,130,24.0,197.0,221.0,75.0,ABa
29,193,12.0,148.0,325.0,75.0,ABp
29,258,10.0,251.0,255.0,75.0,Unknown_258
29,321,11.0,369.0,391.0,75.0,Unknown_321
29,385,23.0,124.0,395.0,75.0,Unknown_385
29,448,25.0,223.0,517.0,75.0,Unknown_448
29,513,23.0,359.0,274.0,75.0,Unknown_513
29,564,22.0,274.0,407.0,75.0,Unknown_564
29,610,21.0,401.0,432.0,75.0,Unknown_610
29,625,16.0,334.0,523.0,75.0,Unknown_625
29,642,11.0,231.0,434.0,75.0,Unknown_642
29,671,12.0,202.0,487.0,75.0,Unknown_671
29,702,16.0,267.0,567.0,75.0,Unknown_702
30,3,17.0,228.0,138.0,75.0,EMS
30,66,16.0,356.0,189.0,75.0,P2
30,130,23.0,192.0,237.0,75.0,ABa
30,193,13.0,151.0,327.0,75.0,ABp
30,258,11.0,263.0,258.0,75.0,Unknown_258
30,321,11.0,369.0,367.0,75.0,Unknown_321
30,385,21.0,131.0,405.0,75.0,Unknown_385
30,448,24.0,232.0,512.0,75.0,Unknown_448
30,513,24.0,351.0,282.0,75.0,Unknown_513
30,564,23.0,286.0,413.0,75.0,Unknown_564
30,610,20.0,405.0,432.0,75.0,Unknown_610
30,625,15.0,339.0,516.0,75.0,Unknown_625
30,642,11.0,231.0,415.0,75.0,Unknown_642
30,671,12.0,198.0,482.0,75.0,Unknown_671
30,702,16.0,271.0,561.0,75.0,Unknown_702
31,3,16.0,231.0,145.0,75.0,EMS
31,66,18.0,351.0,203.0,75.0,P2
31,130,23.0,190.0,241.0,75.0,ABa
31,193,13.0,151.0,319.0,75.0,ABp
31,258,11.0,270.0,257.0,75.0,Unknown_258
31,321,12.0,372.0,357.0,75.0,Unknown_321
31,385,21.0,141.0,413.0,75.0,Unknown_385
31,448,24.0,229.0,514.0,75.0,Unknown_448
31,513,24.0,342.0,289.0,75.0,Unknown_513
31,564,23.0,280.0,407.0,75.0,Unknown_564
31,610,22.0,405.0,437.0,75.0,Unknown_610
31,625,15.0,344.0,512.0,75.0,Unknown_625
31,642,10.0,234.0,413.0,75.0,Unknown_642
31,671,12.0,202.0,492.0,75.0,Unknown_671
31,702,16.0,279.0,559.0,75.0,Unknown_702
32,3,17.0,231.0,144.0,75.0,EMS
32,66,19.0,354.0,195.0,75.0,P2
32,130,23.0,190.0,252.0,75.0,ABa
32,193,13.0,152.0,316.0,75.0,ABp
32,258,10.0,265.0,258.0,75.0,Unknown_258
32,321,12.0,375.0,354.0,75.0,Unknown_321
32,385,22.0,136.0,415.0,75.0,Unknown_385
32,448,23.0,235.0,511.0,75.0,Unknown_448
32,513,24.0,340.0,296.0,75.0,Unknown_513
32,564,24.0,284.0,409.0,75.0,Unknown_564
32,610,21.0,402.0,446.0,75.0,Unknown_610
32,625,16.0,347.0,507.0,75.0,Unknown_625
32,642,10.0,232.0,409.0,75.0,Unknown_642
32,671,12.0,204.0,510.0,75.0,Unknown_671
32,702,16.0,287.0,563.0,75.0,Unknown_702
33,3,18.0,225.0,150.0,75.0,EMS
33,66,20.0,346.0,198.0,75.0,P2
33,130,23.0,189.0,250.0,75.0,ABa
33,193,13.0,144.0,309.0,75.0,ABp
33,258,11.0,267.0,252.0,75.0,Unknown_258
33,321,12.0,377.0,345.0,75.0,Unknown_321
33,385,21.0,137.0,413.0,75.0,Unknown_385
33,448,24.0,228.0,509.0,75.0,Unknown_448
33,513,24.0,345.0,306.0,75.0,Unknown_513
33,564,23.0,280.0,403.0,75.0,Unknown_564
33,610,22.0,397.0,448.0,75.0,Unknown_610
33,625,16.0,357.0,506.0,75.0,Unknown_625
33,642,9.0,239.0,414.0,75.0,Unknown_642
33,671,11.0,197.0,516.0,75.0,Unknown_671
33,702,15.0,297.0,556.0,75.0,Unknown_702
34,3,17.0,228.0,152.0,75.0,EMS
34,66,19.0,339.0,199.0,75.0,P2
34,130,24.0,184.0,262.0,75.0,ABa
34,193,13.0,162.0,320.0,75.0,ABp
34,258,10.0,272.0,256.0,75.0,Unknown_258
34,321,12.0,378.0,330.0,75.0,Unknown_321
34,385,19.0,150.0,425.0,75.0,Unknown_385
34,448,23.0,237.0,510.0,75.0,Unknown_448
34,513,23.0,346.0,308.0,75.0,Unknown_513
34,564,22.0,275.0,397.0,75.0,Unknown_564
34,610,21.0,396.0,447.0,75.0,Unknown_610
34,625,16.0,354.0,497.0,75.0,Unknown_625
34,642,10.0,237.0,416.0,75.0,Unknown_642
34,671,12.0,194.0,525.0,75.0,Unknown_671
34,702,15.0,313.0,561.0,75.0,Unknown_702
35,4,19.0,233.0,130.0,75.0,E
35,35,13.0,209.0,163.0,75.0,MS
35,67,20.0,337.0,184.0,75.0,C
35,98,15.0,362.0,226.0,75.0,P3
35,131,22.0,198.0,224.0,75.0,ABap
35,162,23.0,169.0,286.0,75.0,ABaa
35,194,12.0,150.0,283.0,75.0,ABpa
35,225,11.0,152.0,354.0,75.0,ABpp
35,259,10.0,278.0,229.0,75.0,Unknown_259
35,290,9.0,271.0,303.0,75.0,Unknown_290
35,322,13.0,383.0,319.0,75.0,Unknown_322
35,353,11.0,365.0,381.0,75.0,Unknown_353
35,386,21.0,131.0,390.0,75.0,Unknown_386
35,417,18.0,135.0,457.0,75.0,Unknown_417
35,449,27.0,231.0,488.0,75.0,Unknown_449
35,480,22.0,242.0,524.0,75.0,Unknown_480
35,513,23.0,349.0,290.0,75.0,Unknown_513
35,564,22.0,272.0,381.0,75.0,Unknown_564
35,610,22.0,392.0,436.0,75.0,Unknown_610
35,625,16.0,360.0,489.0,75.0,Unknown_625
35,642,10.0,246.0,428.0,75.0,Unknown_642
35,671,12.0,199.0,526.0,75.0,Unknown_671
35,703,16.0,288.0,566.0,75.0,Unknown_703
35,718,15.0,334.0,561.0,75.0,Unknown_718
36,4,18.0,232.0,128.0,75.0,E
36,35,13.0,209.0,171.0,75.0,MS
36,67,20.0,344.0,177.0,75.0,C
36,98,14.0,367.0,233.0,75.0,P3
36,131,23.0,204.0,225.0,75.0,ABap
36,162,23.0,164.0,279.0,75.0,ABaa
36,194,12.0,151.0,283.0,75.0,ABpa
36,225,11.0,153.0,364.0,75.0,ABpp
36,259,10.0,277.0,238.0,75.0,Unknown_259
36,290,9.0,266.0,318.0,75.0,Unknown_290
36,322,12.0,382.0,325.0,75.0,Unknown_322
36,353,12.0,371.0,401.0,75.0,Unknown_353
36,386,20.0,119.0,393.0,75.0,Unknown_386
36,417,18.0,135.0,468.0,75.0,Unknown_417
36,449,28.0,216.0,467.0,75.0,Unknown_449
36,480,22.0,242.0,524.0,75.0,Unknown_480
36,513,22.0,347.0,284.0,75.0,Unknown_513
36,564,23.0,273.0,364.0,75.0,Unknown_564
36,610,24.0,387.0,421.0,75.0,Unknown_610
36,625,18.0,359.0,482.0,75.0,Unknown_625
36,642,11.0,260.0,444.0,75.0,Unknown_642
36,671,12.0,215.0,527.0,75.0,Unknown_671
36,703,17.0,287.0,569.0,75.0,Unknown_703
36,718,18.0,358.0,549.0,75.0,Unknown_718
37,4,18.0,238.0,131.0,75.0,E
37,35,13.0,211.0,170.0,75.0,MS
37,67,21.0,341.0,184.0,75.0,C
37,98,15.0,371.0,224.0,75.0,P3
37,131,23.0,199.0,225.0,75.0,ABap
37,162,23.0,167.0,284.0,75.0,ABaa
37,194,14.0,148.0,279.0,75.0,ABpa
37,225,11.0,161.0,366.0,75.0,ABpp
37,259,11.0,278.0,233.0,75.0,Unknown_259
37,290,10.0,267.0,314.0,75.0,Unknown_290
37,322,12.0,382.0,324.0,75.0,Unknown_322
37,353,12.0,366.0,399.0,75.0,Unknown_353
37,386,20.0,104.0,404.0,75.0,Unknown_386
37,417,17.0,140.0,471.0,75.0,Unknown_417
37,449,25.0,210.0,460.0,75.0,Unknown_449
37,480,23.0,245.0,528.0,75.0,Unknown_480
37,513,22.0,342.0,284.0,75.0,Unknown_513
37,564,21.0,248.0,371.0,75.0,Unknown_564
37,610,22.0,376.0,404.0,75.0,Unknown_610
37,625,16.0,361.0,487.0,75.0,Unknown_625
37,642,10.0,260.0,439.0,75.0,Unknown_642
37,671,11.0,222.0,535.0,75.0,Unknown_671
37,703,17.0,295.0,578.0,75.0,Unknown_703
37,718,21.0,360.0,547.0,75.0,Unknown_718
38,4,19.0,237.0,125.0,75.0,E
38,35,12.0,209.0,172.0,75.0,MS
38,67,23.0,339.0,183.0,75.0,C
38,98,15.0,379.0,222.0,75.0,P3
38,131,24.0,193.0,224.0,75.0,ABap
38,162,23.0,160.0,288.0,75.0,ABaa
38,194,13.0,140.0,271.0,75.0,ABpa
38,225,11.0,166.0,381.0,75.0,ABpp
38,259,10.0,279.0,219.0,75.0,Unknown_259
38,290,10.0,270.0,322.0,75.0,Unknown_290
38,322,12.0,389.0,321.0,75.0,Unknown_322
38,353,12.0,371.0,403.0,75.0,Unknown_353
38,386,20.0,98.0,403.0,75.0,Unknown_386
38,417,16.0,143.0,480.0,75.0,Unknown_417
38,449,25.0,205.0,470.0,75.0,Unknown_449
38,480,22.0,250.0,531.0,75.0,Unknown_480
38,513,22.0,340.0,284.0,75.0,Unknown_513
38,564,22.0,247.0,376.0,75.0,Unknown_564
38,610,21.0,377.0,404.0,75.0,Unknown_610
38,625,17.0,356.0,484.0,75.0,Unknown_625
38,642,10.0,253.0,435.0,75.0,Unknown_642
38,671,11.0,226.0,536.0,75.0,Unknown_671
38,703,17.0,309.0,586.0,75.0,Unknown_703
38,718,22.0,361.0,541.0,75.0,Unknown_718
39,4,20.0,250.0,122.0,75.0,E
39,35,12.0,201.0,168.0,75.0,MS
39,67,23.0,340.0,181.0,75.0,C
39,98,13.0,387.0,227.0,75.0,P3
39,131,24.0,202.0,215.0,75.0,ABap
39,162,23.0,150.0,289.0,75.0,ABaa
39,194,13.0,149.0,255.0,75.0,ABpa
39,225,11.0,163.0,394.0,75.0,ABpp
39,259,9.0,282.0,212.0,75.0,Unknown_259
39,290,10.0,267.0,329.0,75.0,Unknown_290
39,322,12.0,389.0,309.0,75.0,Unknown_322
39,353,11.0,370.0,411.0,75.0,Unknown_353
39,386,21.0,102.0,397.0,75.0,Unknown_386
39,417,17.0,151.0,497.0,75.0,Unknown_417
39,449,26.0,200.0,463.0,75.0,Unknown_449
39,480,23.0,254.0,537.0,75.0,Unknown_480
39,513,22.0,342.0,286.0,75.0,Unknown_513
39,564,23.0,246.0,369.0,75.0,Unknown_564
39,610,20.0,378.0,400.0,75.0,Unknown_610
39,625,17.0,355.0,480.0,75.0,Unknown_625
39,642,10.0,254.0,428.0,75.0,Unknown_642
39,671,11.0,227.0,534.0,75.0,Unknown_671
39,703,18.0,314.0,586.0,75.0,Unknown_703
39,718,22.0,367.0,534.0,75.0,Unknown_718
40,4,21.0,254.0,125.0,75.0,E
40,35,12.0,191.0,164.0,75.0,MS
40,67,24.0,337.0,177.0,75.0,C
40,98,13.0,386.0,215.0,75.0,P3
40,131,24.0,201.0,213.0,75.0,ABap
40,162,23.0,147.0,294.0,75.0,ABaa
40,194,13.0,154.0,249.0,75.0,ABpa
40,225,10.0,160.0,395.0,75.0,ABpp
40,259,9.0,273.0,205.0,75.0,Unknown_259
40,290,10.0,272.0,327.0,75.0,Unknown_290
40,322,12.0,391.0,305.0,75.0,Unknown_322
40,353,11.0,369.0,420.0,75.0,Unknown_353
40,386,22.0,109.0,384.0,75.0,Unknown_386
40,417,17.0,143.0,503.0,75.0,Unknown_417
40,449,25.0,185.0,461.0,75.0,Unknown_449
40,480,24.0,248.0,546.0,75.0,Unknown_480
40,513,21.0,336.0,282.0,75.0,Unknown_513
40,564,23.0,249.0,375.0,75.0,Unknown_564
40,610,20.0,389.0,397.0,75.0,Unknown_610
40,625,17.0,341.0,477.0,75.0,Unknown_625
40,642,10.0,257.0,432.0,75.0,Unknown_642
40,671,11.0,233.0,535.0,75.0,Unknown_671
40,703,18.0,306.0,590.0,75.0,Unknown_703
40,718,22.0,370.0,529.0,75.0,Unknown_718
41,4,21.0,250.0,128.0,75.0,E
41,35,12.0,193.0,164.0,75.0,MS
41,67,22.0,336.0,171.0,75.0,C
41,98,14.0,385.0,217.0,75.0,P3
41,131,23.0,199.0,211.0,75.0,ABap
41,162,23.0,152.0,292.0,75.0,ABaa
41,194,14.0,150.0,249.0,75.0,ABpa
41,225,11.0,156.0,389.0,75.0,ABpp
41,259,11.0,271.0,203.0,75.0,Unknown_259
41,290,10.0,274.0,321.0,75.0,Unknown_290
41,322,12.0,389.0,305.0,75.0,Unknown_322
41,353,11.0,371.0,424.0,75.0,Unknown_353
41,386,21.0,110.0,382.0,75.0,Unknown_386
41,417,17.0,141.0,499.0,75.0,Unknown_417
41,449,25.0,178.0,468.0,75.0,Unknown_449
41,480,24.0,239.0,554.0,75.0,Unknown_480
41,513,21.0,338.0,283.0,75.0,Unknown_513
41,564,23.0,252.0,375.0,75.0,Unknown_564
41,610,21.0,380.0,400.0,75.0,Unknown_610
41,625,17.0,340.0,474.0,75.0,Unknown_625
41,642,10.0,256.0,428.0,75.0,Unknown_642
41,671,12.0,233.0,534.0,75.0,Unknown_671
41,703,18.0,305.0,586.0,75.0,Unknown_703
41,718,23.0,367.0,529.0,75.0,Unknown_718
42,4,21.0,247.0,131.0,75.0,E
42,35,12.0,192.0,162.0,75.0,MS
42,67,22.0,330.0,165.0,75.0,C
42,98,13.0,386.0,219.0,75.0,P3
42,131,24.0,194.0,213.0,75.0,ABap
42,162,23.0,145.0,298.0,75.0,ABaa
42,194,14.0,149.0,252.0,75.0,ABpa
42,225,12.0,156.0,390.0,75.0,ABpp
42,259,11.0,269.0,202.0,75.0,Unknown_259
42,290,10.0,273.0,323.0,75.0,Unknown_290
42,322,12.0,389.0,306.0,75.0,Unknown_322
42,353,11.0,369.0,427.0,75.0,Unknown_353
42,386,21.0,109.0,386.0,75.0,Unknown_386
42,417,18.0,137.0,497.0,75.0,Unknown_417
42,449,25.0,180.0,464.0,75.0,Unknown_449
42,480,24.0,235.0,554.0,75.0,Unknown_480
42,513,21.0,345.0,272.0,75.0,Unknown_513
42,564,23.0,247.0,375.0,75.0,Unknown_564
42,610,20.0,376.0,397.0,75.0,Unknown_610
42,625,17.0,340.0,479.0,75.0,Unknown_625
42,642,11.0,254.0,430.0,75.0,Unknown_642
42,671,12.0,227.0,528.0,75.0,Unknown_671
